"velocity_vectors:0","velocity_vectors:1","velocity_vectors:2","another_vector_set:0","another_vector_set:1","another_vector_set:2","EinLustigerSkalar","Points:0","Points:1","Points:2"
-0.14832,0.16182,-0.97561,-1.4832,0.32364,-0.97561,1,1.25e-007,7.5e-008,3.5e-008
-0.10039,0.15076,-0.98346,-1.0039,0.30151,-0.98346,1,1.25e-007,6.5e-008,3.5e-008
-0.27457,0.19102,-0.9424,-2.7457,0.38205,-0.9424,1,1.25e-007,8.5e-008,3.5e-008
-0.42491,0.221,-0.87784,-4.2491,0.442,-0.87784,1,1.25e-007,9.5e-008,3.5e-008
-0.58048,-0.79418,0.17978,-5.8048,-1.5884,0.17978,1,3.5e-008,6.5e-008,4.5e-008
0.85282,-0.51335,-0.095721,8.5282,-1.0267,-0.095721,1,3.5e-008,7.5e-008,4.5e-008
-0.30514,0.1107,0.94585,-3.0514,0.2214,0.94585,1,4.5e-008,7.5e-008,4.5e-008
-0.41725,0.090517,0.90427,-4.1725,0.18103,0.90427,1,4.5e-008,6.5e-008,4.5e-008
-0.13095,0.15613,0.97902,-1.3095,0.31225,0.97902,1,3.5e-008,8.5e-008,4.5e-008
-0.17603,0.11832,0.97725,-1.7603,0.23665,0.97725,1,4.5e-008,8.5e-008,4.5e-008
0.85045,-0.0026942,-0.52605,8.5045,-0.0053884,-0.52605,1,3.5e-008,9.5e-008,4.5e-008
-0.068229,0.12376,0.98996,-0.68229,0.24751,0.98996,1,4.5e-008,9.5e-008,4.5e-008
0.19359,-0.98068,0.028152,1.9359,-1.9614,0.028152,1,4.5e-008,5.5e-008,4.5e-008
-0.56553,-0.017159,0.82455,-5.6553,-0.034318,0.82455,1,5.5e-008,6.5e-008,4.5e-008
-0.6225,0.69106,0.36732,-6.225,1.3821,0.36732,1,5.5e-008,5.5e-008,4.5e-008
-0.46966,-0.023889,0.88253,-4.6966,-0.047778,0.88253,1,5.5e-008,7.5e-008,4.5e-008
-0.31438,0.0070128,0.94927,-3.1438,0.014026,0.94927,1,5.5e-008,8.5e-008,4.5e-008
-0.14483,0.051716,0.9881,-1.4483,0.10343,0.9881,1,5.5e-008,9.5e-008,4.5e-008
-0.020956,0.1241,0.99205,-0.20956,0.2482,0.99205,1,4.5e-008,1.05e-007,4.5e-008
-0.036061,0.074442,0.99657,-0.36061,0.14888,0.99657,1,5.5e-008,1.05e-007,4.5e-008
-0.72883,-0.18825,0.65831,-7.2883,-0.3765,0.65831,1,6.5e-008,6.5e-008,4.5e-008
0.89873,-0.3363,-0.28142,8.9873,-0.67259,-0.28142,1,6.5e-008,5.5e-008,4.5e-008
-0.6879,-0.21275,0.69392,-6.879,-0.42549,0.69392,1,6.5e-008,7.5e-008,4.5e-008
-0.56412,-0.14517,0.81283,-5.6412,-0.29034,0.81283,1,6.5e-008,8.5e-008,4.5e-008
-0.3359,-0.042306,0.94095,-3.359,-0.084612,0.94095,1,6.5e-008,9.5e-008,4.5e-008
-0.13737,0.013976,0.99042,-1.3737,0.027952,0.99042,1,6.5e-008,1.05e-007,4.5e-008
-0.86319,-0.33177,0.38056,-8.6319,-0.66355,0.38056,1,7.5e-008,7.5e-008,4.5e-008
-0.84467,-0.29681,0.44546,-8.4467,-0.59362,0.44546,1,7.5e-008,6.5e-008,4.5e-008
-0.8501,-0.21656,0.48004,-8.501,-0.43311,0.48004,1,7.5e-008,8.5e-008,4.5e-008
-0.63064,-0.0871,0.77117,-6.3064,-0.1742,0.77117,1,7.5e-008,9.5e-008,4.5e-008
-0.18803,0.13805,-0.97241,-1.8803,0.2761,-0.97241,1,8.5e-008,7.5e-008,4.5e-008
-0.95797,-0.020224,0.28616,-9.5797,-0.040449,0.28616,1,8.5e-008,6.5e-008,4.5e-008
-0.98002,-0.19765,-0.022209,-9.8002,-0.3953,-0.022209,1,8.5e-008,8.5e-008,4.5e-008
-0.38898,-0.23271,-0.89137,-3.8898,-0.46542,-0.89137,1,8.5e-008,9.5e-008,4.5e-008
-0.63093,-0.097806,-0.76965,-6.3093,-0.19561,-0.76965,1,9.5e-008,7.5e-008,4.5e-008
-0.34691,-0.049405,-0.93659,-3.4691,-0.09881,-0.93659,1,9.5e-008,6.5e-008,4.5e-008
-0.83049,-0.23393,-0.50554,-8.3049,-0.46786,-0.50554,1,9.5e-008,8.5e-008,4.5e-008
